public_identifier;num_accomplishment_courses;name;number
%7Ekatywong;1;;-
%7Ekatywong;2;;-
%7Ekatywong;3;;-
%7Ekatywong;4;;-
%7Ekatywong;5;;-
%7Ekatywong;6;;-
%7Ekatywong;7;;-
%7Ekatywong;8;;-
%7Espencer-demera;1;;CS 20
%7Espencer-demera;2;;CS 1
%7Espencer-demera;3;;CS 2
%7Espencer-demera;4;;MATH 10
%7Espencer-demera;5;;PHYS 1A
%7Espencer-demera;6;01;MATH 1
%7Espencer-demera;7;02;MATH 2
%7Espencer-demera;8;;MATH 270B
%7Espencer-demera;9;;MATH 250A
%7Espencer-demera;10;;CPSC 223N
%7Espencer-demera;11;86;CPSC 240
%7Evincentli;1;;MATH 181A
%7Evincentli;2;;MATH 182A
%7Evincentli;3;;CS 142
%7Evincentli;4;;MATH 190
%7Evincentli;5;;CSEC 101
%7Evincentli;6;;ISTE 140
%7Evincentli;7;;CS 141
%C3%A1frica-dutor-noguera-540baab1;1;;null
%C3%A1gnes-dobrotka-67302692;1;;null
%C3%A1gnes-dobrotka-67302692;2;;null
%C3%A1gnes-dobrotka-67302692;3;;null
%C3%A1gnes-dobrotka-67302692;4;01;null
%C3%A1gnes-dobrotka-67302692;5;;null
%C3%A1gnes-dobrotka-67302692;6;;null
%C3%A1gnes-dobrotka-67302692;7;;null
%C3%A1lvaro-nogales-jos%C3%A9-3090b491;1;;US Soccer
%C3%A1lvaro-nogales-jos%C3%A9-3090b491;2;;CalSouth
%C3%A1lvaro-nogales-jos%C3%A9-3090b491;3;;CalSouth
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;1;02;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;2;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;3;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;4;01;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;5;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;6;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;7;101;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;8;1939-01;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;9;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;10;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;11;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;12;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;13;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;14;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;15;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;16;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;17;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;18;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;19;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;20;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;21;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;22;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;23;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;24;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;25;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;26;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;27;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;28;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;29;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;30;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;31;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;32;;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;33;1939-02;null
%C3%A1ngel-yazmani-fern%C3%A1ndez-798166b8;1;00;7703099843
%C3%A9imh%C3%ADn-evan-harman-622a353;1;;null
%C3%A9lena-smith-40184a99;1;;null
%C3%A9milie-sasseville-47785b4b;1;201-201;-
%C3%A9milie-sasseville-47785b4b;2;201;-
%C3%A9vang%C3%A9line-faussi%C3%A9-a9925a173;1;;null
%C3%A9vang%C3%A9line-faussi%C3%A9-a9925a173;2;;null
%C3%A9vang%C3%A9line-faussi%C3%A9-a9925a173;3;;null
%C3%A9vang%C3%A9line-faussi%C3%A9-a9925a173;4;;null
%C3%A9vang%C3%A9line-faussi%C3%A9-a9925a173;5;;null
%C3%A9vang%C3%A9line-faussi%C3%A9-a9925a173;6;;null
%C3%A9vang%C3%A9line-faussi%C3%A9-a9925a173;7;01;null
%C3%A9vang%C3%A9line-faussi%C3%A9-a9925a173;8;;null
%C3%A9vang%C3%A9line-faussi%C3%A9-a9925a173;9;;null
%C3%A9vang%C3%A9line-faussi%C3%A9-a9925a173;10;1877;null
%C3%A9vang%C3%A9line-faussi%C3%A9-a9925a173;11;;null
%C3%A9vang%C3%A9line-faussi%C3%A9-a9925a173;12;;null
%C3%A9vang%C3%A9line-faussi%C3%A9-a9925a173;13;;null
%C3%A9vang%C3%A9line-faussi%C3%A9-a9925a173;14;;null
%C3%A9vang%C3%A9line-faussi%C3%A9-a9925a173;15;;null
%C3%A9vang%C3%A9line-faussi%C3%A9-a9925a173;16;;null
%C3%A9vang%C3%A9line-faussi%C3%A9-a9925a173;17;;null
%C3%A9vang%C3%A9line-faussi%C3%A9-a9925a173;18;;null
%C3%A9vang%C3%A9line-faussi%C3%A9-a9925a173;19;;null
%C3%A9vang%C3%A9line-faussi%C3%A9-a9925a173;20;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;1;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;2;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;3;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;4;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;5;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;6;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;7;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;8;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;9;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;10;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;11;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;12;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;13;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;14;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;15;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;16;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;17;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;18;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;19;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;20;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;21;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;22;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;23;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;24;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;25;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;26;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;27;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;28;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;29;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;30;;null
%C3%B6merh;1;;null
%C3%B6merh;2;;null
%C3%B6merh;3;;null
%C3%B6merh;4;;null
%C3%B6merh;5;;null
%C3%B6merh;6;;null
%C3%B6merh;7;;null
%C3%B6merh;8;;null
%C3%B6zcan-yurt-80b9a315;1;;BIL465
%C3%B6zcan-yurt-80b9a315;2;;BIL361
%C3%B6zcan-yurt-80b9a315;3;;ELE395
%C3%B6zcan-yurt-80b9a315;4;;ELE372
%C3%B6zcan-yurt-80b9a315;5;;ELE467
%C3%B6zcan-yurt-80b9a315;6;;BIL264
%C3%B6zcan-yurt-80b9a315;7;;BIL362
%C3%B6zcan-yurt-80b9a315;8;;ELE421
%C3%B6zcan-yurt-80b9a315;9;;EE5410
