public_identifier;num_accomplishment_honors_awards;title;issuer;issued_on;description
%7Ekatywong;1;;Senator Appel;01-08-2016;Recipient of full tuition scholarship to Tulane University for the past three years
%7Ekurt-%7Ebrubaker-690211a;1;;HBS President Award;01-09-2006;null
%7Espencer-demera;1;;California FFA Association;null;The California FFA State Degree is the highest honor awarded to FFA members at the state level who have demonstrated exemplary achievement in their classroom instruction, made significant accomplishments in their supervised agricultural experience and demonstrated their commitment to FFA.
%7Eyunqi;1;;-;01-01-2017;null
%7Eyunqi;2;50;-;01-01-2017;null
%7Eyunqi;3;;-;01-01-2016;null
%7Eyunqi;4;;-;01-01-2015;null
%7Eyunqi;5;;-;01-01-2012;null
%7Eyunqi;6;;-;01-01-2011;null
%7Eyunqi;7;;-;01-01-2010;null
%C3%A7oul-crenshaw-83a71170;1;;Media Board of East Carolina University;31-05-2013;Honorary award for executing a series of promotional engagements and product releases while working with a staff to reach our non-student audience members and continue to grew relationships with indie bands and artists.
%C3%A9lan-sims-bsn-rn-7606826a;1;;Hampton University;31-05-2012;null
%C3%A9lan-sims-bsn-rn-7606826a;2;;Hampton University;null;Achieved Dean's List status for two and a half years in the duration of my student tenure.
%C3%A9tienne-brown-ba533a54;1;;Social Sciences and Humanities Research Council of Canada;30-09-2018;null
%C3%A9tienne-brown-ba533a54;2;2011-2015;Social Sciences and Humanities Research Council of Canada;30-09-2015;null
%C3%A9tienne-brown-ba533a54;3;;German Academic Exchange Service, 2013-2014;31-10-2013;null
%C3%A9tienne-brown-ba533a54;4;2010-2011;Fonds de recherche qu\u00e9b\u00e9cois sur la soci\u00e9t\u00e9 et la culture;30-09-2010;null
%C3%A9tienne-brown-ba533a54;5;2010-2011;Social Sciences and Humanities Research Council of Canada;30-09-2009;null
%C3%A9tienne-brown-ba533a54;6;2009;Faculty of Social Sciences, University of Ottawa;30-06-2009;null
%C3%B0attaraj-%C3%9Fhadane-7982701a;1;;Wise Men Solutions;31-10-2014;To Recognise the stellar contribution as a member of the IS Team.
%C3%B3scar-vargas-36060776;1;;Morris County Hispanic-American Chamber of Commerce;null;In appreciation of leadership, dedication, and support to the Hispanic business community. Recognized by the New Jersey Legislative District, Senate and General Assembly.
%C3%B6merh;1;77;ERO: Concrete Recycling Robot;31-12-2012;null
%C3%B6merh;2;;ERO: Concrete Recycling Robot;31-12-2012;null
%C3%B6merh;3;;C-THRU: Smoke Diving Helmet;31-12-2011;null
%C3%B6merh;4;;C-THRU: Smoke Diving Helmet;null;Final result to be announced on September
%C3%B6zcan-%C3%A7%C4%B1nar-983545104;1;;German Academic Exchange Service (DAAD);01-01-2015;Graduate School Scholarship Program
%C3%B6zcan-%C3%A7%C4%B1nar-983545104;2;;Berlin School of Integrative Oncology (BSIO);01-01-2014;null
%C3%B6zcan-%C3%A7%C4%B1nar-983545104;3;;The Scientific and Technological Research Council of Turkey (T\u00dcB\u0130TAK);01-01-2012;Support Program for Undergraduate Student Projects - 2209
%C3%B6zcan-%C3%A7%C4%B1nar-983545104;4;;ERASMUS - EU;01-01-2011;null
%C3%B6zcan-yurt-80b9a315;1;;TOBB ETU;31-08-2009;null
%C3%B6zcan-yurt-80b9a315;2;;TUBIDER - CEBIT;30-11-2008;2.degree
%C3%B6zcan-yurt-80b9a315;3;;TOBB ETU;30-09-2007;null
%C3%B6zg%C3%BCr-akg%C3%BCn-ph-d-mba-58a3524;1;;College of Business;null;null
%C3%B6zlem-diker-mba-93b28325;1;;Bogazici University;01-06-2005;null
%C3%BArsula-gabriela-jessee-4145a61;1;;National Society of Hispanic MBAs;31-07-2013;null
%C3%BArsula-gabriela-jessee-4145a61;2;;University of Michigan;31-01-2013;Forty fellows are selected from a pool of candidates nominated by Schools and Colleges throughout the University
%C3%BArsula-gabriela-jessee-4145a61;3;;Dow Chemical - University of Michigan;30-11-2012;null
%C3%BArsula-gabriela-jessee-4145a61;4;;Rotary International;30-06-2006;null
%C3%BArsula-gabriela-jessee-4145a61;5;;Fulbright;31-05-2005;null
%C3%BArsula-gabriela-jessee-4145a61;6;;Wellesley College - Economics Department;30-09-2004;null
%C3%BArsula-gabriela-jessee-4145a61;7;;Wellesley College;31-01-2004;null
%C5%A1%C3%A1rka-sobkov%C3%A1-052bb5b3;1;;Landkreis Gorlitz Kultur - und Weiterbildungsgesellschaft mbH Euroregon Neisse;31-05-2010;2. Preis - violoncello
%C5%A1%C3%A1rka-sobkov%C3%A1-052bb5b3;2;;Region Competition Of Chamber Music;30-04-2010;null
%CE%B2%CE%B5%CF%81%CE%B9%CF%82-%CE%B2%CE%BF%CE%B3-b3710812a;1;01;USAMO;01-06-2000;Math is easy and only good for computational finance. :)
%7E-jo-lynne-artist-877818124;1;;null;null;null
%7E-jo-lynne-artist-877818124;2;;National Collegic / Referred by Dean of University;null;null
%7E-jo-lynne-artist-877818124;3;;National Collegic Who's Who;null;null
%7E-jo-lynne-artist-877818124;4;;College of Art and Design at UWSP;null;null
%7Emanishgupta;1;2008-02;-;null;\u2022\tAwarded 2008 ISC2 information security scholarship (Awarded to only 7 information security researchers world-wide)
