public_identifier;num_accomplishment_organisations;starts_at;ends_at;org_name;title;description
%7E-kyle-littrell-%7E-1275813;1;30-09-2007;null;American Marketing Association;null;null
%7Espencer-demera;1;;null;California 4-H Association;Camp Counselor, Club Officer, Teen Leader, Showman;As a member of 4-H I participated in many community service events, was a Junior and Teen leader for various project groups, participated in and lead multiple local and county committees, was a community club officer, and a camp counselor. Additionally, for the 11 years of my membership I showed many small animals for exhibition (such as cavies, rabbits, poultry, dogs, and pygmy goats) while earning numerous awards for showmanship and personal excellence.
%7Espencer-demera;2;;null;California FFA Association;State Degree Recipient and Member;"As a member of California FFA I participated in many events; contests; committees; local, sectional, regional, and state leadership conferences; all while learning the virtues of career development and premier leadership through the execution of my Supervised Agricultural Experience."
%7Espencer-demera;3;;null;Livermore FFA Chapter;Chapter Officer;I held the offices of both Reporter and Secretary in my local FFA Chapter at my high school. These offices required me to manage a monthly newsletter, inform the members, engage in regular communication with advisors, learn valuable time-keeping skills, and to become a better leader.
%C3%A1gnes-dobrotka-67302692;1;30-09-2014;null;Ministry of Foreign Affairs and Trade;Member of Interministrial Working group;EUSDR PA8 (Competitiveness) National Representative for Hungary
%C3%A1gnes-dobrotka-67302692;2;31-01-2014;null;Charta XXI Movement for Reconciliation and  Cooperation and Jean Monnet-nights, Hungary;Organizator and  activist;Non-political, NGO initiative - peaceful coexistence of thought to connect the Carpathian Basin peoples. With opened the values of recognition and real human values of other nations to preserve and promote history, culture and language and reject all hatred. Organizing programs for kids andyouth, sharing the idea of reconciliation in the region, advising with brochures and information. Writing tendering materials and cooperation with the local NGOs related to minority issues and...
%C3%A1gnes-dobrotka-67302692;3;30-09-2013;31-05-2014;Carpathia Association asbl.- Association of  Cultural Relations in Central Europe, Brussels, Belgium;Co-organizator;Organizing thematic nights and bals \u2013 Promotion of Hungarian culture, folklore and language, preservation of Hungarian traditions from Carpathian basin, programs for the adults and children, family events, indoor and outdoor activities (Spring Folk Night, Tchango Carnival Games, Bal Folk Hongrois etc.)
%C3%A1gnes-dobrotka-67302692;4;30-09-2013;31-05-2014;Hungarian Development Center - Brussels, Belgium;Coordinator;Organizing coordination meetings for the members of HDC. Join and coordinate the Eu-institutional stagiaires,providing useful informations to expats,involve them in volunteering. Organazing visits to the EU institutions (European Parliament, NATO, Embassies, cultural institutes) and visit the turistic attractions of the region. Coordination of large visitor groups form Central Europe and showing around. Writing and evaluating tender documentations.Organizing thematical days and...
%C3%A1gnes-dobrotka-67302692;5;30-04-2013;30-09-2013;Donaufest 2013 \u2013 Bratislava, Slovakia;Organizer and  logistic help;Cooperation with Danube Competence Center and Bratislava Tourist Board, voluntary organization of festival with guests from the Danube region, communicating and logistic solutions for the representatives, informative presentation on the capital and regions of Slovakia.
%C3%A1gnes-dobrotka-67302692;6;30-09-2012;31-03-2013;Undutchables - Recruitment partner for Internationals, Netherlands;Translator and organizer;Voluntary translating publications and brochures containing useful information about local customs, country regulations related to the job-seeking expats, helping to other foreigners to get involved to the every-day social life by organizing events and thematical gatherings.
%C3%A1gnes-dobrotka-67302692;7;31-05-2006;31-10-2008;Travel Agency \u201cNestos\u201d, Omis, Croatia;Travel Agency  Office Leader;Liaising with travel partners (airlines, hotels, transportation companies) arranging accommodation and insurance, advising with brochures and travel information, planning and selling tour packages, trips, collecting and processing payments and dealing with complaint or refunds.
%C3%A1lvaro-m%C3%A9ndez-99118692;1;;null;Gesu Church;Usher;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;1;31-01-2013;null;Iglesia Monte de Sion;Active Member;Oversee the performance of the tech team with video cameras and sound equipmentProvide multiple video strategies for the live-streaming on Facebook account and other recording projectsIn the past:Joined the singing chorus for over a year and a halfPlayed tenor saxophone with the youth church band for two yearsSupervised recording equipment and social media devices
%C3%A1ngela-orozco-torres-04a88795;1;01-08-2016;31-12-2017;English Majors Association;Vice President;null
%C3%A4nneka-levra-206687126;1;30-09-2016;null;American Society of Health-System Pharmacists;null;null
%C3%A4nneka-levra-206687126;2;30-09-2013;null;American Pharmacists Association;null;null
%C3%A4nneka-levra-206687126;3;30-09-2013;null;Phi Delta Chi Pharmaceutical Fraternity;Pledge Educator;null
%C3%A4nneka-levra-206687126;4;31-08-2013;null;Iowa Pharmacy Association;null;null
%C3%A4nneka-levra-206687126;5;30-11-2014;31-05-2017;National Community Pharmacists Association - Iowa Student Chapter;Communications Co-Chair, Founding Member;null
%C3%A4nneka-levra-206687126;6;31-08-2013;31-05-2017;University of Iowa College of Pharmacy - Professional Outreach Development Society;Public Relations Chair, Philanthropy Chair;null
%C3%A7oul-crenshaw-83a71170;1;31-08-2010;null;East Carolina Student Media;Radio Station Manager;null
%C3%A7oul-crenshaw-83a71170;2;31-08-2010;null;Gamma Beta Phi Honor Society;member;null
%C3%A9imh%C3%ADn-evan-harman-622a353;1;31-08-2019;31-08-2019;Industrial Network Group;null;The Industrial Network Group (ING) is a group of like-minded sales professionals who desire to get more business and help others improve their sales in the Industrial Marketplace.  Dedicated to building a network of industrial sales professionals who become a strong sales force for each member.
%C3%A9imh%C3%ADn-evan-harman-622a353;2;;null;ASHRAE -American Society of Heating, Refrigerating & Air Conditioning Engineers. Charleston Chapter;null;null
%C3%A9imh%C3%ADn-evan-harman-622a353;3;;null;Clemson Alumni Club - Charleston, SC;null;null
%C3%A9lena-smith-40184a99;1;31-01-2017;null;Y.O.U. Inc;Director of Development;Plans, organizes, and directs all of Y.O.U. Inc.'s fund-raising opportunities including, the major gifts program, annual fund, planned giving, special events and capital campaigns. Works closely with the executive director and the board of directors in all development and fund-raising endeavors.
%C3%B3m%C3%B2-oba-hrh-ad%C3%A9t%C3%B2m%C3%ADw%C3%A1-a-gbad%C3%A9b%C3%B2-ba297aa1;1;;null;Minneapolis Institute of Arts;MAEP Board Member;null
%C3%B3m%C3%B2-oba-hrh-ad%C3%A9t%C3%B2m%C3%ADw%C3%A1-a-gbad%C3%A9b%C3%B2-ba297aa1;2;;null;New Age Art Salon ( NaAs);null;null
%C3%B6mer-k%C4%B1rmaz-7858a4156;1;31-03-2020;null;British Association for Psychopharmacology;Member;The BAP is a learned society and registered charity. It promotes research and education in psychopharmacology and related areas, and brings together people in academia, health services, and industry. Formed in 1974, it is the largest such national association in Europe, and the second largest in the world.
%C3%B6merh;1;31-07-2016;null;Atolye;Member;AT\u00d6LYE brings together a creative hub and a strategic design studio to tackle wicked problems and create positive impact.https://atolye.io/en/home/
%C3%B6merh;2;31-07-2016;31-08-2016;Techshop San Francisco;Member;null
%C4%91anho%C3%A0ngphan;1;;null;N/A;N/A;null
%CE%B2%CE%B5%CF%81%CE%B9%CF%82-%CE%B2%CE%BF%CE%B3-b3710812a;1;;null;Phi Gamma Nu;Big and Good President;null
%CE%BAara-lindquist-52b8b251;1;01-01-2014;31-12-2014;BNSF Next Generation Leadership Program;Annual Alumni Event Chair;While serving as the Annual Alumni Event Chair, I was responsible for planning a formal event in April for all NGLP alumni to attend. In addition, I managed an alumni database of all NGLP alumni contact information.
%CE%BAara-lindquist-52b8b251;2;01-01-2013;31-12-2014;Chi Omega;Make-A-Wish Chairman, Make-A-Wish Assistant Chair;While serving as the Make-A-Wish Chairman, I was the liaison between Make-A-Wish North Texas offices and our chapter. I was also responsible for leading the Make-A-Wish team to plan two annual philanthropy events: Frats at Bat and our Parents Weekend Auction. Last year, we raised over $190,000 through our efforts at Frats and Bat and the Auction.
%7E-jo-lynne-artist-877818124;1;;null;IATSE 480 Film Union;member to be;Crafts:SeamstressArt DeptSet Painter
%7E-jo-lynne-artist-877818124;2;;null;New Mexico Art League;null;null
%7E-jo-lynne-artist-877818124;3;;null;Orchid Society of New Mexico;null;null
%7E-jo-lynne-artist-877818124;4;;null;Federated Garden Club;Treasurer, Vice President, Secretary;null
%7E-jo-lynne-artist-877818124;5;;null;Chenango Council of the Arts;Artist, Director, Photographer, Hostess to incoming performing artists;null
%7E-jo-lynne-artist-877818124;6;;null;Sherburne Players;Make-up, Set;null
%7E-jo-lynne-artist-877818124;7;;null;Ikebana - Japanese Flower Arranging;null;null
%7E-jo-lynne-artist-877818124;8;;null;Chenango Community Players;Director...;null
%7Eazain;1;;null;Youth Parliament of Pakistan;Member;null
%7Eqytang;1;01-03-2014;31-03-2015;Youth Volunteers Association, Peking University;Beijing, CHINA;"\u2022 Publicity work before every volunteer recruitment, like making posters, releasing information online;\u2022 Organized several volunteer programs in school and an annual university-level activity\u2022 Edited and Published the annual voluntary magazine;\u2022 Chaired monthly meetings of Publicity Department to coordinate the routine work."
%7Eramon;1;31-10-2016;null;Nu Alpha Kappa Fraternity, Inc.;Member;null
%7Eshahid-rizvi%7E-92910042;1;;null;Certified Neurolinguistic Programer from U.S. NLP Association;null;null
%7Eufarooq;1;;null;University of California Riverside;null;null
%C2%A0jennifer-bennett-9075a912;1;;null;no;n/a;null
%C3%A1ine-ni-ghallach%C3%B3ir-7a591516;1;30-11-2014;null;Professional Women in Construction;Member;null
%C3%A1lex-ram%C3%ADrez-arballo-15734990;1;;null;Modern Language Association;null;null
%C3%A1lvaro-franco-64982621;1;30-06-2011;null;Above The Noise;Chairman;An independent collective aiming to introduce more ethnic and social diversity into American cinema. Operations specialize in various forms of visual media, including (but not limited to) films, documentaries, and videography.
%C3%A1lvaro-franco-64982621;2;30-09-2009;31-05-2013;SAME TV;Vice President, Equipment Manager;null
%C3%A2ngela-crespo-47723693;1;28-02-2013;null;American Society for Reproductive Immunology;null;null
%C3%A2ngela-crespo-47723693;2;31-01-2013;null;American Association of Immunologists;null;null
%C3%A2ngela-crespo-47723693;3;30-11-2012;null;Portuguese American Post Graduate Society;Boston Co-Chapter Leader;null
