public_identifier;num_accomplishment_patents;title;issuer;issued_on;description;application_number;patent_number;url
%7Ekevinwen;1;;United States;24-05-2016;Techniques are described for tracking and recognizing gestures performed within a field-of-view of a sensor. In one or more implementations, the techniques may be implemented within an electronic device that is configured to receive a signal from a sensor in response to the sensor detecting a gesture occurring within a field of view of the sensor. A lens is positioned over the sensor to collimate light incident on the lens and to pass the collimated light to the sensor. The electronic device is configured to generate one or more light intensity ratios based upon the signal. The electronic device is then configured to determine a type of gesture performed based upon the one or more light intensity ratios.;9348462 B2;9348462 B2;https://patentimages.storage.googleapis.com/e9/05/89/996c25e45d2944/US9348462.pdf
%C5%82ukasz-dysarski-33735457;1;0119;null;null;null;null;null;null
%7Echris;1;;United States;01-01-2019;Provisional Patent Granted in March 2019;null;null;null
%7Edanielchang;1;;United States;01-05-2018;null;9,959,069;9,959,069;null
%7Edanielchang;2;;United States;01-02-2015;null;8952897;8952897;null
%C5%95%C4%ABzwee%C7%AF-%C2%AEi%E2%84%A2-h-1-%E0%AE%AE%E0%AE%AF%E0%AE%B0%E0%AE%B1%E0%AE%B2%E0%AE%B3%E0%AE%B43-j-%C2%AE-i%E2%84%A2-jr-388012102;1;;United States;02-02-2017;Check out plan!;12345;12345;http://www.fullstackdeveloper.linkedin.com
%7Etimpaek;1;85;Patent & Trademark Office;null;Co-inventor on 100+ patent applications. Complete list available upon request.;null;null;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=0&p=1&f=S&l=50&Query=IN%2FPaek-Tim%24&d=PTXT
%7Enavid;1;;United States;23-04-2021;null;20210105152;20210105152;https://patents.justia.com/patent/20210105152
%7Epiki;1;;United States;03-09-2019;null;US20130343213A1;US20130343213A1;null
%7Epiki;2;;United States;28-11-2017;null;9830147;9830147;null
%7Epiki;3;;United States;01-08-2017;null;9722900;9722900;null
%7Epiki;4;;United States;24-11-2015;null;9197520;9197520;null
%7Epiki;5;;United States;03-11-2015;null;9178721;9178721;null
%7Epiki;6;;United States;06-10-2015;null;9154397;9154397;null
%7Epiki;7;;United States;09-12-2014;null;8909761;8909761;null
%7Epiki;8;;United States;05-04-2014;null;8700765;8700765;null
%7Epiki;9;;United States;04-02-2014;null;8645532;8645532;null
%7Epiki;10;;United States;19-11-2013;null;8589537;8589537;null
%C3%A5sa-wheelock-068393b0;1;02;China;15-04-2015;null;null;ZN200980117868;http://www.google.com.na/patents/US8218878
%C3%A5sa-wheelock-068393b0;2;02;Japan;05-09-2012;null;null;5068388;http://www.google.com.na/patents/US8218878
%C3%A5sa-wheelock-068393b0;3;02;United States;01-08-2012;The patented CuTEDGE (Cumulative Time-resolved Emission 2-Dimensional Gel Electrophoresis) technology provides an objective means to accurately quantify and subsequently subtract the background fluorescence at the photon level. Proof-of-principle measurements using the CyDyes (minimal DIGE) demonstrated a clear separation in fluorescent lifetimes between fluorochromes and background components, thus allowing lifetime-mediated background subtraction with high accuracy. Proof-of-principle...;null;US008218878 B2;http://www.google.com.na/patents/US8218878
%C3%A5sa-wheelock-068393b0;4;02;Europe;11-10-2011;null;null;EP 2283350;http://www.google.com.na/patents/US8218878
%CE%B4%CE%B9mi%CF%84r%CE%B9%CE%BF%CF%82-a-dimitroglou-2a7ab78a;1;;United States;01-02-1998;null;null;US Patent No. 5,827,553;null
%C3%A1rni-thor-945b;1;;United States;25-11-2016;A versatile jewelry includes a semi-rigid or rigid main body defining at least one retaining feature about the outer periphery. The main body has a semi-circular profile and defines first and second opposing end portions with a clearance therebetween. At least one hair accessory is adapted to extend over the main body and arranged to be secured by the at least one retaining feature. The main body retains the at least one hair accessory therewith, and the at least one hair accessory spans the...;null;US9474342;https://www.google.com/patents/US9474342
%C3%A1rni-thor-945b;2;;United States;06-10-2016;A versatile jewelry includes a semi-rigid or rigid main body defining groove about the outer periphery. The groove has a varying depth along its length and defines a cross section including a flat bottom portion and a pair of flat upstanding sidewalls. The main body has a semi-elliptical profile and defines first and second opposing end portions with a clearance therebetween. At least one hair accessory having an elasticity is adapted to be disposed in the groove and span the periphery of the...;null;US9433264;https://www.google.com/patents/US9433264?dq=US9433264&hl=en&sa=X&ved=0ahUKEwiz6PfWvbbQAhVCslQKHYVnAz4Q6AEIHDAA
%C3%A1rni-thor-945b;3;;United States;25-04-2014;null;null;US8,679,044;https://www.google.com/patents/US8679044?dq=US8679044&hl=en&sa=X&ei=0PAqVPGaM7WNsQTO-oDABg&ved=0CCEQ6AEwAA
%C3%A1rni-thor-945b;4;;United States;25-03-2014;Miami Lumbar TLSO;null;8,657,769;https://www.google.com.ar/patents/US8657769?dq=US+8,657,769&hl=is&sa=X&ei=pC3mU8W9Ho7B7Abj9oGIDg&ved=0CBoQ6AEwAA
%C3%A1rni-thor-945b;5;;United States;07-02-2014;Rebound Ankle Brace;null;8,622,946;https://www.google.com.ar/patents/US8622946?dq=US+8,622,946&hl=is&sa=X&ei=Di7mU8PTNtHG7AbJkIGQDQ&ved=0CBoQ6AEwAA
%C3%A1rni-thor-945b;6;8048-013-8048-013-04-07-00-08-06;United States;19-12-2013;null;null;US8,585,623;https://www.google.com/patents/US8585623?dq=US8585623&hl=en&sa=X&ei=MzgsVMqXOMXd7gaoxICoCw&ved=0CB8Q6AEwAA
%C3%A1rni-thor-945b;7;;United States;23-05-2013;null;null;US8,425,441;https://www.google.com/patents/US8425441?dq=US8425441&hl=en&sa=X&ei=ijgsVKKbAeXj7Qah6YGIBg&ved=0CB8Q6AEwAA
%C3%A1rni-thor-945b;8;;United States;08-02-2013;null;null;US8,348,876;https://www.google.com/patents/US8348876?dq=US8348876&hl=en&sa=X&ei=GzcsVNvVMKuu7Ab074CoAQ&ved=0CB8Q6AEwAA
%C3%A1rni-thor-945b;9;;United States;11-01-2013;null;null;US8,328,745;https://www.google.com/patents/US8328745?dq=US+8328745&hl=en&sa=X&ei=3awhVIigD6fY7Aam8IDoCg&ved=0CB0Q6AEwAA
%C3%A1rni-thor-945b;10;;United States;11-01-2013;null;null;US8,328,745;https://www.google.com/patents/US8328745?dq=US8328745&hl=en&sa=X&ei=uTosVLXeAaeu7AbR-IDoBQ&ved=0CB8Q6AEwAA
%C3%A1rni-thor-945b;11;;United States;11-01-2013;Unloader One;null;8,328,746;https://www.google.com.ar/patents/US8328746?dq=US+8,328,746&hl=is&sa=X&ei=kDDmU46qDaSu7Abl5IGADg&ved=0CBoQ6AEwAA
%C3%A1rni-thor-945b;12;;United States;06-12-2012;null;null;US8,303,528;https://www.google.com/patents/US8303528?dq=US8303528&hl=en&sa=X&ei=iDUsVJRM8ZXsBq-wgagN&ved=0CB8Q6AEwAA
%C3%A1rni-thor-945b;13;;United States;23-11-2012;null;null;US8,282,588;https://www.google.com/patents/US8282588?dq=US8282588&hl=en&sa=X&ei=ZDYsVLraMMyd7gbdrIDQCA&ved=0CB8Q6AEwAA
%C3%A1rni-thor-945b;14;;United States;23-11-2012;null;null;US8,292,838;https://www.google.com/patents/US8292838?dq=US8292838&hl=en&sa=X&ei=uDYsVNP0NIHN7QaZ-YGoBw&ved=0CB8Q6AEwAA
%C3%A1rni-thor-945b;15;;United States;18-10-2012;null;null;US8,267,879;https://www.google.com/patents/US8267879?dq=US8267879&hl=en&sa=X&ei=6jgsVNGbNYWc7gaxmoD4CA&ved=0CB8Q6AEwAA
%C3%A1rni-thor-945b;16;;United States;04-10-2012;null;null;US8,257,293;https://www.google.com/patents/US8257293?dq=US8257293&hl=en&sa=X&ei=4a0hVPi8ONLd7Qa6z4DYCw&ved=0CB0Q6AEwAA
%C3%A1rni-thor-945b;17;;United States;04-10-2012;null;null;US8,257,293;https://www.google.com/patents/US8257293?dq=US8257293&hl=en&sa=X&ei=_zksVMCcO6LR7QbFoYDQCQ&ved=0CB8Q6AEwAA
%C3%A1rni-thor-945b;18;;United States;14-09-2012;null;null;US8,241,234;https://www.google.com/patents/US8241234?dq=US8241234&hl=en&sa=X&ei=ia0hVN2XHK3W7QaI14HYCw&ved=0CB8Q6AEwAA
%C3%A1rni-thor-945b;19;;United States;14-09-2012;null;null;US8,241,234;https://www.google.com/patents/US8241234?dq=US8241234&hl=en&sa=X&ei=UTosVNKsJKOM7AbH6IHYDw&ved=0CB8Q6AEwAA
%C3%A1rni-thor-945b;20;;United States;31-08-2012;Unloader One;null;8,231,560;https://www.google.com.ar/patents/US8231560?dq=US+8,231,560&hl=is&sa=X&ei=EDHmU_HKF6PX7Aat2YHwDQ&ved=0CBoQ6AEwAA
%C3%A1rni-thor-945b;21;;United States;12-08-2012;null;null;D641,483;null
%C3%A1rni-thor-945b;22;;United States;10-08-2012;null;null;US8,216,170;https://www.google.com/patents/US8216170?dq=US8216170&hl=en&sa=X&ei=PDksVPvSFaiu7AaviYDgBw&ved=0CB8Q6AEwAA
%C3%A1rni-thor-945b;23;;United States;08-06-2012;Miami Lumbar;null;8,172,779;http://www.google.com/patents/US20100217167?dq=Rigid+lumbar+Arni+Thor&ei=L0WkT4fkI4al0AXu29iUBA
%C3%A1rni-thor-945b;24;;United States;23-03-2012;A coupling deice for orthopedic brace includes an anchoring member for securing to a frame and protruding therefrom, and a sub-shell arranged to connect to the frame by the anchoring member.  The sub-shell has a locking element for selectively positioning the sub-shell on the frame at the plurality of locations.  The sub-shell may include an end portion or contoured edge extending beyond a portion of the frame so as to flex relative to the frame.;null;US 2012/0046585 A1;http://www.google.com/patents/US20120046585
%C3%A1rni-thor-945b;25;;United States;24-02-2012;null;null;D652,937;null
%C3%A1rni-thor-945b;26;;United States;01-12-2011;null;null;US8,048,013;https://www.google.com/patents/US8048013?dq=US8048013&hl=en&sa=X&ei=xzcsVKH4Keea7gaEuoGIDg&ved=0CB8Q6AEwAA
%C3%A1rni-thor-945b;27;;United States;25-11-2011;null;null;D647,624;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=1&p=1&f=G&l=50&d=PTXT&S1=thorgilsdottir-thora.INNM.&OS=in/thorgilsdottir-thora&RS=IN/thorgilsdottir-thora
%C3%A1rni-thor-945b;28;;United States;25-11-2011;Unloader One;null;8,043,244;http://www.google.com.ar/patents/US8043244
%C3%A1rni-thor-945b;29;;United States;18-11-2011;null;null;US8,038,636;https://www.google.com/patents/US8038636?dq=US8038636&hl=en&sa=X&ei=cvAqVJPtAraTsQSv_4KoCA&ved=0CB0Q6AEwAA
%C3%A1rni-thor-945b;30;;United States;13-10-2011;Unloader One;null;8,016,781;https://www.google.com.ar/patents/US8016781?dq=US+8,016,781&hl=is&sa=X&ei=wTDmU9OhKaf07Aa9noHIDQ&ved=0CBoQ6AEwAA
%C3%A1rni-thor-945b;31;;United States;19-08-2011;null;null;US7,981,068;https://www.google.com/patents/US7981068?dq=US7981068&hl=en&sa=X&ei=CjQsVL_ZDoGd7gbE0YHQAQ&ved=0CCEQ6AEwAA
%C3%A1rni-thor-945b;32;;United States;12-08-2011;null;null;D641,482;null
%C3%A1rni-thor-945b;33;;United States;14-10-2010;Unloader One;null;7,794,418;https://www.google.com.ar/patents/US7794418?dq=US+7,794,418&hl=is&sa=X&ei=IjDmU4HxMaWf7AaguoHADQ&ved=0CBoQ6AEwAA
%C3%A1rni-thor-945b;34;;United States;27-08-2010;Silicone spacer liners;null;7762973;http://www.google.com/search?q=Arni+Thor+Ingimundarson&hl=en&tbm=pts&ei=AUOkT6ylM-Gl0QWw6OjoAw&start=10&sa=N&biw=1280&bih=558
%C3%A1rni-thor-945b;35;;United States;10-08-2010;Ski Brace Unloader;null;8,216,166;https://www.google.com.ar/patents/US8216166?dq=US+8,216,166&hl=is&sa=X&ei=xSzmU_eBN-vG7AbSjICgDg&ved=0CBoQ6AEwAA
%C3%A1rni-thor-945b;36;;United States;06-08-2010;Patella Cup for CTi;null;7,749,183;https://www.google.com.ar/patents/US7749183?dq=US+7,749,183&hl=is&sa=X&ei=6CrmU6u_BOOv7AbUsoH4DQ&ved=0CBoQ6AEwAA
%C3%A1rni-thor-945b;37;;United States;01-07-2010;null;null;D616,996;null
%C3%A1rni-thor-945b;38;;United States;01-07-2010;null;null;D616,997;null
%C3%A1rni-thor-945b;39;;United States;25-06-2010;null;null;D616,555;null
%C3%A1rni-thor-945b;40;;United States;27-05-2010;Ski brace;null;7,704,218;https://www.google.com.ar/patents/US7704218?dq=US+7,704,218&hl=is&sa=X&ei=FivmU-LqLcee7AaFz4CwDQ&ved=0CBoQ6AEwAA
%C3%A1rni-thor-945b;41;;United States;06-11-2009;Unloader One;null;7597675;http://www.google.com/patents?id=AgHJAAAAEBAJ&printsec=frontcover&dq=Arni+Thor+Ingimundarson&hl=en&sa=X&ei=AUOkT6ylM-Gl0QWw6OjoAw&ved=0CD0Q6AEwAg
%C3%A1rni-thor-945b;42;;United States;07-05-2009;AFO Light fo kids with adjustale spring system;null;7,513,880;https://www.google.com.ar/patents/US7513880?dq=US+7,513,880&hl=is&sa=X&ei=Zi_mU9v0Gq-S7Ab8h4D4Bg&ved=0CBoQ6AEwAA
%C3%A1rni-thor-945b;43;;United States;17-04-2009;null;null;D588,753;null
%C3%A1rni-thor-945b;44;;United States;30-10-2008;null;null;D577,828;null
%C3%A1rni-thor-945b;45;;United States;22-05-2008;null;null;D567,072;null
