public_identifier;num_accomplishment_publications;name;publisher;published_on;description;url
%7Ekatywong;1;;Polymers;27-04-2018;null;https://www.mdpi.com/2073-4360/10/5/475
%C3%A1gnes-dobrotka-67302692;1;;under publication;30-04-2014;null;null
%C3%A1lvaro-grande-0357b515;1;00;CMMGA - Congreso Mundial de Mantenimiento y Gesti\u00f3n de Actuvos;null;null;null
%C3%A1lvaro-grande-0357b515;2;;Rio Oil and Gas;null;Description of recent technologies and comparison with traditional systems on reciprocating compressors on step and stepless control;null
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;1;;F\u00f3sforo magazine;31-12-2015;Submitted personal writing to the magazine department. Published one of the first short stories in Fosforo.(vol 13) 2016;http://college.holycross.edu/fosforo/
%C3%A1ngel-yazmani-fern%C3%A1ndez-798166b8;1;;La Mentalidad y La Vida.;31-05-2017;null;https://www.blogger.com/blogger.g?blogID=1966460662095202274#allposts
%C3%A5sa-segerstolpe-42803863;1;;Nature;02-02-2019;null;https://www.nature.com/articles/s41586-018-0836-1
%C3%A5sa-segerstolpe-42803863;2;;Sci Data;21-09-2018;null;https://www.nature.com/articles/sdata2018160
%C3%A5sa-segerstolpe-42803863;3;01-03-02;EMBO Journal;14-08-2017;null;https://www.embopress.org/doi/full/10.15252/embj.201695347
%C3%A5sa-segerstolpe-42803863;4;;Nature Medicine;23-07-2017;null;https://www.nature.com/articles/nm.4336
%C3%A5sa-segerstolpe-42803863;5;02;Cell Metabolism;22-10-2016;null;http://www.cell.com/cell-metabolism/abstract/S1550-4131(16)30436-3?_returnURL=http%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1550413116304363%3Fshowall%3Dtrue
%C3%A5sa-segerstolpe-42803863;6;05;Molecular Cell;12-01-2014;null;https://www.cell.com/molecular-cell/fulltext/S1097-2765(13)00759-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1097276513007594%3Fshowall%3Dtrue
%C3%A5sa-segerstolpe-42803863;7;01-90;Nucleic Acid Research;27-12-2012;null;http://nar.oxfordjournals.org/content/early/2012/11/26/nar.gks1129.full.pdf+html
%C3%A5sa-segerstolpe-42803863;8;19-01;Plos One;12-10-2012;null;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3440411/pdf/pone.0043786.pdf
%C3%A5sa-segerstolpe-42803863;9;01-03;Molecular and Cellular Biology;24-09-2009;null;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2772733/pdf/0428-09.pdf
%C3%A5sa-segerstolpe-42803863;10;01-03;Nucleic Acids Research;27-07-2008;null;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2490760/pdf/gkn384.pdf
%C3%A7oul-crenshaw-83a71170;1;;null;null;Street Fashion feature blog taking a look at the details of what people are wearing.;http://Coulstylejournal.tumblr.com
%C3%B3scar-ferr%C3%A1ndez-22b5285;1;;Journal of biomedical informatics;20-06-2014;"The Health Insurance Portability and Accountability Act (HIPAA) Safe Harbor method requires removal of 18 types of protected health information (PHI) from clinical documents to be considered \""de-identified\"" prior to use for research purposes. Human review of PHI elements from a large corpus of clinical documents can be tedious and error-prone. Indeed, multiple annotators may be required to consistently redact information that represents each PHI class. Automated de-identification has the...";http://www.ncbi.nlm.nih.gov/pubmed/24859155?report=xml&format=text
%C3%B3scar-ferr%C3%A1ndez-22b5285;2;;null;null;null;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;1;;Electrochimica Acta;31-12-2016;Porous anodic oxide formation results from a morphological instability of uniform barrier oxide growth leading to the establishment of pores. To gain insight into this process, evidence for microstructural changes in the oxide accompanying pore initiation in anodic alumina was sought through two types of experiments: potentiodynamic anodizing and stress measurements during dissolution of the anodic films. Cyclic voltammetry during anodizing in sulfuric acid shows that pore formation coincides...;http://www.sciencedirect.com/science/article/pii/S0013468617303894
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;2;;Electrochimica Acta;31-12-2016;null;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;3;;Advance Energy Material;31-12-2015;In situ strain and stress measurements are performed on composite electrodes to monitor potential-dependent stiffness changes in lithium manganese oxide (LiMn2O4). Lithium insertion and removal results in asynchronous strain and stress generation in the electrode. Electrochemical stiffness changes are calculated by combining coordinated stress and strain measurements. The electrode experiences dramatic changes in electrochemical stiffness due to potential-dependent Li+ ion intercalation...;http://Accepted
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;4;;J. Electrochem. Soc.;31-12-2015;Repeated charge and discharge of graphite composite electrodes in lithium-ion batteries cause cyclic volumetric changes in the electrodes, which lead to electrode degradation and capacity fade. In this work, we measure in situ the electrochemically-induced deformation of graphite composite electrodes. The deformation is divided into a reversible component and an irreversible component. Reversible expansion/contraction of the composite electrodes is correlated with localized changes in graphite...;http://jes.ecsdl.org/content/163/9/A1965.abstract
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;5;;Acta Materialia;31-12-2015;Measurement of near-surface stress generated by metallic corrosion can reveal defects and material property changes relevant to structural degradation by stress corrosion cracking. In this study, stress and topography evolution were characterized during alkaline corrosion of high-purity aluminum. In situ stress measurements revealed tensile increases of the force per width (stress integrated over depth) that scale directly with the sample yield stress. Spectral analysis of the uniform dimpled...;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;6;;Electrochimica Acta;31-12-2014;Anodic oxidation of reactive metals such as Al and Ti produces oxide films with self-organized arrangements of nanoscale pores. Stress-driven mass transport of oxide is considered to play an important role in pore formation and self-ordering. Using in situ stress monitoring during both anodizing and subsequent open-circuit oxide dissolution, distributions of in-plane residual stress were measured in anodic alumina films formed by galvanostatic anodizing in phosphoric acid. Anodizing produced...;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;7;;Electrochimica Acta;31-12-2014;Self-organized porous anodic oxide films are produced when reactive metals such as aluminum and titanium are electrochemically oxidized in baths that dissolve the oxide. The role of oxide stress in the initiation of pores in anodic aluminum oxide was investigated, for constant current anodizing in phosphoric acid. Through-thickness profiles of the in-plane stress in the oxide were measured by in-situ monitoring of stress change during open circuit dissolution following anodizing. During barrier...;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;8;;Journal of The Electrochemical Society;31-12-2013;While stress is thought to play an important role in the development of self-organized porous films, mechanisms of stress generation during anodizing are not yet understood. In order to reveal depth distributions of stress in anodic films, phase-shifting curvature interferometry was used to monitor force transients (in-plane stress integrated through the sample thickness) during formation of anodic oxides on aluminum in phosphoric acid, as well as subsequent open-circuit dissolution. The...;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;9;;Iowa State University Dissertation;31-12-2013;The phenomenon of plastic flow induced by electrochemical reactions near room tempera- ture is significant in porous anodic oxide (PAO) films, charging of lithium batteries and stress- corrosion cracking (SCC). As this phenomenon is poorly understood, fundamental insight into flow from our work may provide useful information for these problems. In-situ monitoring of the stress state allows direct correlation between stress and the current or potential, thus providing fundamental insight into...;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;10;;Journal of The Electrochemical Society;31-12-2012;Stress measurements yield insight into technologically relevant deformation and failure mechanisms in electrodeposition, battery reactions, corrosion and anodic oxidation. Aluminum anodizing experiments were performed to demonstrate the effectiveness of phase-shifting curvature interferometry as a new technique for high-resolution in situ stress measurement. This method uses interferometry to monitor surface curvature changes, from which stress evolution is inferred. Phase-shifting of the...;null
%C3%B6merh;1;;Drawing for Industrial Designers / Wired Magazine UK / Innovation Magazine / Welt Der Wunder / Svet Objevu / GQ Magazine / Les D\u00e9brouillards / Die \u00d6sterreichische Feuerwehr;null;null;null
%C3%B6zcan-%C3%A7%C4%B1nar-983545104;1;88;Cancer Immunology, Immunotherapy;11-09-2018;null;https://link.springer.com/article/10.1007%2Fs00262-018-2242-9
%C3%B6zcan-%C3%A7%C4%B1nar-983545104;2;02;PLoS One;15-06-2015;null;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0129786
%C3%B6zcan-yurt-80b9a315;1;;The Graduate School of Natural and Applied Sciences of Middle East Technical University;27-09-2013;Due to increasing throughput requirements of data communication protocols, the Cyclic Redundancy Check (CRC) calculation in these protocols is implemented by hardware calculators in several systems. Also, many FPGA-based small-scale systems have different types of data communication interfaces that require CRC. Resource utilization of these systems is frequently a critical parameter with regards to cost. In many cases, limited logic units of an FPGA required to be used very carefully with the...;null
%C3%B8istein-thorsen-91b99b63;1;2013;The Guardian Sustainable Business;05-02-2015;In an age of transparency, agricultural producers increasingly need to create a farm environment that is not only economic and efficient, but also appealing. Chicken-centered design can narrow the gap between conventional industry practices and consumer expectations by producing environments that improve welfare and are more in keeping with the unique needs of the birds.;http://www.theguardian.com/sustainable-business/2015/feb/05/design-for-the-birds-building-better-homes-for-chickens
%C3%B8istein-thorsen-91b99b63;2;;TheFishSite's Sustainable Aquaculture Digital;01-10-2014;As aquaculture strives to become more sustainable, the problems associated with antibiotic use have become a hot topic. This article looks at the state of current use and proposes a way to ensure antibiotics are used responsibly, without jeopardizing the health and welfare of the fish, food safety or productivity.;http://thefishsite.uberflip.com/i/393826
%C3%B8istein-thorsen-91b99b63;3;;The Guardian Sustainable Business;07-08-2014;Antibiotic use in farming is common but with serious effects on human health, it is time to ensue these miracle drugs are responsible used in animals.;http://www.theguardian.com/sustainable-business/food-farming-antibiotics-health-challenge-business
%C3%B8istein-thorsen-91b99b63;4;2019;Thecropsite.com;27-06-2014;a two-part article showing how the public discourse about genetically modified organisms (GMOs) in the American food system is been characterized by polarization and inflated rhetoric. From a review of recent published public perception research the following three truths emerge:1) People are concerned and largely skeptical of GMOs and thus in favor of labeling.2) Distrust of the food industry and general ignorance about what constitutes genetic modification - its prevalence and common applications - are major drivers of public concern.3) The public needs more accurate information from trustable sources if misperceptions are to be corrected.;http://www.thecropsite.com/news/16360/part-ii-three-truths-about-publics-perception-of-genetic-modification
%C3%B8istein-thorsen-91b99b63;5;;Global AgInvesting;25-04-2014;The ocean is overexploited and under-explored when it comes to finding solutions to sustainable food production. This article, prepared for the 2014 Global AgInvesting forum in New York, argues that continued industry success and sustainable global expansion of aquaculture will come from identifying investments and early development opportunities focused on addressing aquaculture\u2019s challenges around disease, feed and waste management.;http://www.globalaginvesting.com/news/blogdetail?contentid=4070
%C3%B8istein-thorsen-91b99b63;6;;Sustainable Aquaculture Digital;01-01-2014;Chronicling the rise of multi-stakeholder initiatives and lessons for their further development.;http://thefishsite.uberflip.com/i/248935/20
%C3%B8istein-thorsen-91b99b63;7;;TheDairySite.com;10-12-2013;Milking cows is a tying job and a commitment many farmers make at the start and end of each day. This article explores the benefits experienced by one Missouri farmer after switching to robotic production. The Astronaut - a robotic milker from the Dutch company Lely - is a robot which automatically milks cows when the cow wants to be milked. This represents a revolution for dairy farmers and dairy cows alike.;http://www.thedairysite.com/articles/3762/robots-make-dairy-farms-run-on-cowtime
%C5%BEaneta-maijorovait%C4%97-0b33a346;1;;Journal of Biologija;31-12-2007;null;null
%D0%B0%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%B0-%D1%81%D0%BD%D0%B8%D0%B3%D1%83%D1%80-954107a3;1;0410-043-0430-043-0438-0437-0441-043-0432-0440-0435-043-0435-043-043-043-0433-043-0441-043-0441-0442-043-044-043-0438-044-0433-043-0440-043-0434-0441-043-043-0433-043-043-0430-0441-0441-0430-0436-0438-0440-0441-043-043-0433-043-043-0431-0449-0435-0441-0442-0432-0435-043-043-043-0433-043-0430-0432-0442-043-043-043-0431-0438-043-044-043-043-0433-043-0442-0440-0430-043-0441-043-043-0440-0442-0430-0432-0433-0412-043-043-0433-043-0433-0440-0430-0434-0435;May 2014;null;null;null
%7Eazain;1;2018-2019;Senex: III. Congress of Aging Studies for Graduate Students;null;This work analyzes the features of design and user-interface of the smartphones exclusively designed for the elderly citizens in a bid to enhance their usability among people aged 65 or more to overcome digital divide in the ageing society of today. These features are more focused on size of the device, visibility, text-speech function and emergency tools. It was found that ageing-friendly smartphones have metallic body structure, large display, icons and text fonts, simplified navigation\u2026;https://www.researchgate.net/publication/337007105_Ageing-friendly_smartphones_An_analysis_of_design_and_user-interface_to_understand_smartphone_'usability'_for_elderly_citizens
