public_identifier;num_articles;title;link;published_date;author;image_url
%C3%B8istein-thorsen-91b99b63;1;201-201;https://www.linkedin.com/pulse/its-time-replace-less-better-%C3%B8istein-thorsen;27-01-2020;By \u00d8istein Thorsen;https://media-exp1.licdn.com/dms/image/C4E12AQG6PhfjxtcUMg/article-cover_image-shrink_180_320/0/1585326769187?e=1639008000&v=beta&t=2ZPwRi9HLaPc4YkZq14Gs8xUz_dqjJhJGIUE7uNa5sc
%C3%B8istein-thorsen-91b99b63;2;;https://www.linkedin.com/pulse/roadmap-better-chicken-welfare-%C3%B8istein-thorsen;27-01-2020;By \u00d8istein Thorsen;https://media-exp1.licdn.com/dms/image/C4E12AQHRpXw4BUtCIQ/article-cover_image-shrink_180_320/0/1582767937748?e=1639008000&v=beta&t=nKeav8zswK_9-P6ZQKk_qSc0Pwzvo6inllf5rnDHH_g
%C3%B8istein-thorsen-91b99b63;3;200;https://www.linkedin.com/pulse/risk-overselling-sustainable-solutions-%C3%B8istein-thorsen;17-01-2019;By \u00d8istein Thorsen;https://media-exp1.licdn.com/dms/image/C4E12AQEKaTiGXVKiJg/article-cover_image-shrink_180_320/0/1560747361224?e=1639008000&v=beta&t=JW-42RGd_jlKdjowBuDLtWppCtURmIseRYUbBXFkx3M
%C3%A1ngel-guill%C3%A9n-casado-a8932817;1;;https://www.linkedin.com/pulse/searching-maintenance-technician-%C3%A1ngel-guill%C3%A9n-casado;22-01-2015;By \u00c1ngel Guill\u00e9n Casado;https://static-exp1.licdn.com/scds/common/u/img/pic/pic_pulse_stock_article_15.jpg
%C3%A7a%C4%9Flayan-arkan;1;04-2019;https://www.linkedin.com/pulse/4-things-manufacturers-should-prioritize-prepare-whats-%C3%A7a%C4%9Flayan-arkan;06-05-2021;\u00c7a\u011flayan Arkan;https://media-exp1.licdn.com/dms/image/C4D12AQGRtEfEAS81ow/article-cover_image-shrink_180_320/0/1620237401326?e=1626912000&v=beta&t=bWafg9TwZhzZ1wlYoyOszzAl9I1GBuDxLD55b9g9N6Q
%C3%A7a%C4%9Flayan-arkan;2;;https://www.linkedin.com/pulse/art-possible-reimagining-factory-digital-twin-technology-arkan;30-11-2020;\u00c7a\u011flayan Arkan;https://media-exp1.licdn.com/dms/image/C5612AQE9ppdTKZ-6nw/article-cover_image-shrink_180_320/0/1606586659223?e=1626912000&v=beta&t=KL-wVTgVD0o7LGG8oxMnsTfP0UycOAyBl_JqIm4jGto
%C3%A7a%C4%9Flayan-arkan;3;;https://www.linkedin.com/pulse/re-writing-future-simulation-based-digital-twin-%C3%A7a%C4%9Flayan-arkan;19-12-2019;\u00c7a\u011flayan Arkan;https://media-exp1.licdn.com/dms/image/C5612AQG8Js8f16vIiA/article-cover_image-shrink_180_320/0/1576784413317?e=1626912000&v=beta&t=xWQm_3ucHFF4PK1ZvX1Uw_GTUDBKQnnhR48TUdFrujc
%C5%95%C4%ABzwee%C7%AF-%C2%AEi%E2%84%A2-h-1-%E0%AE%AE%E0%AE%AF%E0%AE%B0%E0%AE%B1%E0%AE%B2%E0%AE%B3%E0%AE%B43-j-%C2%AE-i%E2%84%A2-jr-388012102;1;;https://www.linkedin.com/pulse/freshmenu-%C5%95%C4%ABzwee%C7%AF-i-h-1-%E0%AE%AE%E0%AE%AF%E0%AE%B0%E0%AE%B1%E0%AE%B2%E0%AE%B3%E0%AE%B43-j-i-jr-;24-01-2018;"By \u0154\u012bzwee\u01ef \u00aei\u2122  H 1, \u0bae\u0baf\u0bb0\u0bb1\u0bb2\u0bb3\u0bb43 J\"" \u00ae i\u2122 , Jr.";https://static-exp1.licdn.com/scds/common/u/img/pic/pic_pulse_stock_article_11.jpg
%C5%95%C4%ABzwee%C7%AF-%C2%AEi%E2%84%A2-h-1-%E0%AE%AE%E0%AE%AF%E0%AE%B0%E0%AE%B1%E0%AE%B2%E0%AE%B3%E0%AE%B43-j-%C2%AE-i%E2%84%A2-jr-388012102;2;;https://www.linkedin.com/pulse/eeal-mol-%C5%95%C4%ABzwee%C7%AF-i-h-1-%E0%AE%AE%E0%AE%AF%E0%AE%B0%E0%AE%B1%E0%AE%B2%E0%AE%B3%E0%AE%B43-j-i-jr-;24-01-2018;"By \u0154\u012bzwee\u01ef \u00aei\u2122  H 1, \u0bae\u0baf\u0bb0\u0bb1\u0bb2\u0bb3\u0bb43 J\"" \u00ae i\u2122 , Jr.";https://static-exp1.licdn.com/scds/common/u/img/pic/pic_pulse_stock_article_13.jpg
%C5%95%C4%ABzwee%C7%AF-%C2%AEi%E2%84%A2-h-1-%E0%AE%AE%E0%AE%AF%E0%AE%B0%E0%AE%B1%E0%AE%B2%E0%AE%B3%E0%AE%B43-j-%C2%AE-i%E2%84%A2-jr-388012102;3;;https://www.linkedin.com/pulse/fine-%C5%95%C4%ABzwee%C7%AF-i-h-1-%E0%AE%AE%E0%AE%AF%E0%AE%B0%E0%AE%B1%E0%AE%B2%E0%AE%B3%E0%AE%B43-j-i-jr-;24-01-2018;"By \u0154\u012bzwee\u01ef \u00aei\u2122  H 1, \u0bae\u0baf\u0bb0\u0bb1\u0bb2\u0bb3\u0bb43 J\"" \u00ae i\u2122 , Jr.";https://static-exp1.licdn.com/scds/common/u/img/pic/pic_pulse_stock_article_3.jpg
