public_identifier;num_groups;profile_pic_url;name;url
%7Ebrian-lucero;1;01-04-07-03-200-200-00-1631-3713-8422-00-1636-5384-00-00-48-05-07-05-04-05-09;Apple Computers;https://www.linkedin.com/groups/73680
%7Ebrian-lucero;2;01-5607-03-06-92-92-00-1631-0062-5540-07-1636-5384-00-03-01-03-07-04-03;Techqueria;https://www.linkedin.com/groups/13500636
%7Ebrian-lucero;3;01-5607-02-92-92-00-1631-0089-7060-00-1636-5384-00-09-02-09-03-08;Front End Developer Group;https://www.linkedin.com/groups/2231152
%7Ebrian-lucero;4;01-04-07-200-200-00-1631-3723-2246-01-1636-5384-00-08-05-00-02;Pi Kappa Alpha Professional Network;https://www.linkedin.com/groups/87285
%7Ebrian-lucero;5;01-5607-07-92-92-00-1631-0022-1627-09-1636-5384-00-11-00-01-36-08-06;Machine Learning and Data Science;https://www.linkedin.com/groups/4298680
%7Ebrian-lucero;6;01-04-07-07-07-92-92-00-1525-1262-5110-00-1636-5384-00-09-04-08-02-05;Apple Professionals;https://www.linkedin.com/groups/38606
%7Ekevinwen;1;01-04-07-04-05-200-200-00-1631-3634-7272-03-1637-6256-00-00-08-03-02-05-02-79-95;RF/Analog/Mixed signal circuit design & product/test engineering;https://www.linkedin.com/groups/1857241
%7Ekevinwen;2;01-5607-08-04-92-92-00-1631-0107-7242-01-1637-6256-00-72-05-05-06-05-00;RF, Analog and Mixed-Signal IC Design Engineering;https://www.linkedin.com/groups/37702
%7Evincentli;1;01-04-07-92-92-00-1631-0071-1741-01-1637-2188-00-72-00;RIT Career Services;https://www.linkedin.com/groups/4577501
%7Evincentli;2;01-5107-02-200-200-00-1631-4223-7177-02-1637-2188-00-01-02-02-09-04;FIRST Alumni Network;https://www.linkedin.com/groups/8198441
%7Eyunqi;1;01-5607-04-05-92-92-00-1631-0044-7663-01-1638-0000-00-08-02-08-08-86-08;Microsoft Research Employee & Alumni Network;https://www.linkedin.com/groups/7060091
%7Eyunqi;2;01-5107-04-02-200-200-00-1631-4346-5534-09-1638-0000-00-09-00-69-02-03-02-08-07;Young Chinese Professionals;https://www.linkedin.com/groups/3901274
%7Eyunqi;3;01-04-07-03-200-200-00-1631-3626-0732-06-1638-0000-00-06-01-06-02-08-04;BIT (Beijing Institute of Technology) Alumni, New York and US Eastern Chapter;https://www.linkedin.com/groups/2429587
