public_identifier;num_languages;language
%7E-%7E-misty-lynn-head%7E-%7E-735b2850;1;English
%7E-%7E-misty-lynn-head%7E-%7E-735b2850;2;Hindi
%7E-%7E-misty-lynn-head%7E-%7E-735b2850;3;Spanish
%7E-%7E-misty-lynn-head%7E-%7E-735b2850;4;French
%7Eeric-d-chen;1;English
%7Eeric-d-chen;2;Chinese
%7Ejamie-%7Eflores-01b53319;1;English
%7Ejamie-%7Eflores-01b53319;2;Spanish
%7Ekatywong;1;Cantonese
%7Ekatywong;2;English
%7Ekatywong;3;Spanish
%7Ekevinwen;1;English
%7Ekevinwen;2;Mandarin
%7Epomai;1;Hawaiian
%7Epomai;2;Japanese
%7Espencer-demera;1;English
%7Espencer-demera;2;French
%7Evincentli;1;English
%7Evincentli;2;Chinese
%C3%97cathleen-schultz-ab478aa8;1;English
%C3%A1gnes-dobrotka-67302692;1;Hungarian
%C3%A1gnes-dobrotka-67302692;2;Serbian
%C3%A1gnes-dobrotka-67302692;3;Croatian
%C3%A1gnes-dobrotka-67302692;4;English
%C3%A1gnes-dobrotka-67302692;5;German
%C3%A1gnes-dobrotka-67302692;6;Finno-Ugrianlanguages
%C3%A1gnes-dobrotka-67302692;7;Finnish
%C3%A1gnes-dobrotka-67302692;8;Slovak
%C3%A1gnes-dobrotka-67302692;9;Bosnian
%C3%A1gnes-dobrotka-67302692;10;Montenegrin
%C3%A1kos-apostagi-915a7741;1;English
%C3%A1kos-apostagi-915a7741;2;German
%C3%A1kos-apostagi-915a7741;3;French
%C3%A1kos-r%C3%B3zs%C3%A1s-10b9158b;1;English
%C3%A1lvaro-frias-902565a5;1;English
%C3%A1lvaro-frias-902565a5;2;Spanish
%C3%A1lvaro-frias-902565a5;3;French
%C3%A1lvaro-grande-0357b515;1;Espa\u00f1ol
%C3%A1lvaro-grande-0357b515;2;Ingl\u00e9s
%C3%A1lvaro-grande-0357b515;3;Portugu\u00e9s
%C3%A1lvaro-j-l%C3%B3pez-835a842;1;English
%C3%A1lvaro-j-l%C3%B3pez-835a842;2;Spanish
%C3%A1lvaro-j-l%C3%B3pez-835a842;3;Portuguese
%C3%A1lvaro-m%C3%A9ndez-99118692;1;Spanish
%C3%A1lvaro-nogales-jos%C3%A9-3090b491;1;Spanish
%C3%A1lvaro-nogales-jos%C3%A9-3090b491;2;English
%C3%A1lvaro-nogales-jos%C3%A9-3090b491;3;Portuguese
%C3%A1lvaro-nogales-jos%C3%A9-3090b491;4;German
%C3%A1ngel-gonz%C3%A1lez-b61a83b3;1;English
%C3%A1ngel-gonz%C3%A1lez-b61a83b3;2;Spanish
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;1;Spanish
%C3%A1ngel-sanders-carrillo-cruz-3ba539110;2;English
%C3%A1ngel-yazmani-fern%C3%A1ndez-798166b8;1;Espa\u00f1ol
%C3%A1ngela-l-79a92151;1;Spanish/EnglishFluent
%C3%A1ngela-v-ben%C3%ADtez-8631a4132;1;English
%C3%A1ngela-v-ben%C3%ADtez-8631a4132;2;Spanish
%C3%A4nneka-levra-206687126;1;English
%C3%A5lrik-benkt-5618b19b;1;English
